'Probe'	'Symbol'	'acg'	'dlpfc'	'cb'	'amy'	'hc'	'nacc'	'new-mean-6'
'4215_at'	'MAP3K3'	-1	11	13	-2	-3	-2	0.0312351085
'3134_at'	'HLA-F'	-1	-6	-5	12	-3	-1	0.0312811444
'6809_at'	'STX3'	-4	11	16	10	3	15	0.0312991264
'2290_at'	'FOXG1'	-6	-5	13	11	-6	14	0.0313786962
'55079_at'	'FEZF2'	-5	12	15	11	16	16	0.0314460703
'1912_at'	'PHC2'	3	0	-1	2	0	1	0.0315240817
'9099_at'	'USP2'	4	1	1	3	5	4	0.0316936299
'10268_at'	'RAMP3'	2	0	13	3	2	-5	0.0318095122
'834_at'	'CASP1'	-2	0	-1	7	6	1	0.0318580534
'3176_at'	'HNMT'	14	15	17	14	14	15	0.0319550427
'6518_at'	'SLC2A5'	2	2	3	3	1	3	0.0319999695
'56105_at'	'PCDHGA11'	10	-2	-2	14	6	9	0.0320771171
'3566_at'	'IL4R'	-1	0	-2	5	-2	4	0.0322125227
'2568_at'	'GABRP'	-3	3	7	-4	5	8	0.0322679045
'3642_at'	'INSM1'	0	1	4	-4	-4	16	0.0324649751
'10263_at'	'CDK2AP2'	-6	13	15	-3	-5	16	0.0325075053
'26502_at'	'NARF'	7	3	0	2	1	3	0.0325496183
'7071_at'	'KLF10'	0	3	10	7	2	0	0.0327958235
'23253_at'	'ANKRD12'	5	3	0	6	7	4	0.0327993891
'6656_at'	'SOX1'	7	12	-4	-1	7	-2	0.0328085024
'7376_at'	'NR1H2'	16	11	11	1	5	-3	0.0330189581
'51168_at'	'MYO15A'	4	2	5	16	13	5	0.033406852
'2488_at'	'FSHB'	-4	9	-4	-5	8	-5	0.0334148918
'23192_at'	'ATG4B'	10	7	2	6	2	8	0.0334256321
'26271_at'	'FBXO5'	2	-1	-4	7	7	3	0.0334353308
'11119_at'	'BTN3A1'	13	-6	13	0	15	16	0.0335133608
'171023_at'	'ASXL1'	4	3	-1	6	-1	-1	0.0336989781
'4616_at'	'GADD45B'	0	2	-5	0	-1	0	0.0337080121
'5717_at'	'PSMD11'	4	-3	-1	1	-1	9	0.0337655352
'3569_at'	'IL6'	2	-4	-3	1	-2	2	0.033783468
'9201_at'	'DCLK1'	15	8	10	4	17	15	0.0339467082
'10598_at'	'AHSA1'	-6	-4	14	-2	-5	-4	0.0341165841
'51324_at'	'SPG21'	2	3	7	-1	6	5	0.0341596184
'3356_at'	'HTR2A'	6	7	7	7	7	-2	0.0341803572
